CODE_UIC;LIBELLE;long;lat
0087481168;Le Cellier;-1.3506694;47.3135164
0087481150;Mauves-sur-Loire;-1.3893042;47.2930211
0087478750;Port-Brillet;-0.9740682;48.1106724
0087478552;Évron;-0.397338;48.155501
0087478065;Bonnemain;-1.7654125;48.4764049
0087478024;Saint-Médard-sur-Ille;-1.6674886;48.2742219
0087476754;Sévérac;-2.072707;47.5498647
0087476671;Questembert;-2.4496002;47.6831803
0087476648;Sainte-Anne;-2.96048;47.6785805
0087476432;Kerhostin;-3.1363795;47.5369524
0087476408;Belz - Ploemel;-3.0721919;47.652466
0087476309;Gestel;-3.4431341;47.8029905
0087476275;L'Isthme;-3.133699;47.5465051
0087474312;Saint-Thégonnec;-3.9483116;48.4942082
0087474221;La Forest-Landerneau;-4.3074515;48.4263093
0087474098;Quimper;-4.092103;47.994455
0087474064;Châteaulin;-4.094308;48.2016033
0087474056;Pont-de-Buis;-4.0861227;48.2544024
0087474007;Brest;-4.478903;48.388110
0087473546;Callac;-3.419782;48.4062201
0087473165;Belle-Isle - Bégard;-3.3228532;48.5935901
0087472639;Mulhouse Zu Rhein;7.3170514;47.7434965
0087471185;Messac - Guipry;-1.81822;47.82225
0087471144;Laillé;-1.7495654;47.9717527
0087471060;L'Hermitage - Mordelles;-1.8192987;48.123142
0087471052;Saint-Jacques-de-la-Lande;-1.7142367;48.0670983
0087471029;Vern-sur-Seiche;-1.5966524;48.0469707
0087462085;Chamonix Aiguille du Midi;6.8667152;45.91993
0087447219;Lison;-1.050339;49.226834
0087446179;Saint-Cyprien Arènes;1.417986;43.593438
0087444620;Rai - Aube;0.5536992;48.7437153
0087444604;Sainte-Gauburge;0.4281082;48.7172632
0087444570;Nonant-le-Pin;0.2194656;48.7037802
0087444406;Houlgate;-0.0772276;49.3000711
0087444372;Trouville - Deauville;0.084167;49.360005
0087444349;Pont-l'Évêque;0.1921947;49.2870379
0087444265;Lisieux;0.231143;49.138299
0087444216;Saint-Pierre-sur-Dives;-0.0405855;49.0231057
0087415893;Bonnières-sur-Seine;1.582205;49.038788
0087415646;Saint-Pierre-du-Vauvray;1.2248947;49.2339135
0087415620;Gaillon - Aubevoye;1.352461;49.174626
0087413708;Harfleur Halte;0.192085;49.5059181
0087413336;Virville - Manneville;0.3541609;49.5835958
0087411264;Barentin;0.953517;49.549123
0087411207;Oissel;1.101799;49.343060
0087402297;Colmar Mésanges;7.3336703;48.0860048
0087396895;Clermont La Rotonde;3.0909704;45.7680954
0087396606;Château-du-Loir;0.414912;47.683392
0087396358;Voivres-lès-le-Mans;0.0853466;47.9304199
0087396325;La Ferté-Bernard;0.639711;48.1864887
0087396291;Montfort-le-Gesnois;0.4064237;48.0405657
0087396093;La Hutte Coulombiers;0.1056788;48.303495
0087394437;Illiers-Combray;1.2448745;48.303937
0087394296;Nogent-le-Rotrou;0.8103045;48.3255926
0087394130;Maintenon;1.5920651;48.5854793
0087393629;Plaisir - Les Clayes;1.9600537;48.8304565
0087393603;Bourth;0.804747;48.7658425
0087393553;Nonancourt;1.1929162;48.7757257
0087393546;Bièvres;2.2157279;48.7513289
0087393413;Villepreux - Les Clayes;1.9930652;48.8239168
0087393223;Saint-Cyr-l'École;2.0733739;48.7990666
0087393074;Issy-les-Moulineaux;2.2593469;48.8201001
0087393058;Champ de Mars Tour Eiffel;2.2892141;48.8551134
0087391102;Paris Montparnasse Vaugirard;2.320514;48.841172
0087387183;Beaumont-le-Roger;0.7727865;49.0741722
0087386730;Aubergenville Élisabethville;1.8484987;48.971825
0087386680;Les Mureaux;1.9129871;48.9927897
0087386540;Munster Badischhof;7.1528861;48.0390754
0087386425;Maisons-Laffitte;2.1443153;48.9456394
0087386417;Sartrouville;2.1575173;48.9379523
0087386318;Nanterre Université;2.2158277;48.90122
0087382804;Saint-Germain-en-Laye Grande Ceinture;2.0733132;48.9032098
0087382440;Bougival;2.1323749;48.8542135
0087382382;Puteaux;2.23350;48.88351
0087382374;Suresnes Mont Valérien;2.22131;48.87155
0087382259;Garches - Marnes-la-Coquette;2.18692;48.83839
0087381814;Vaux-sur-Seine;1.96342;49.00699
0087381806;Triel-sur-Seine;2.00577;48.98099
0087381715;Mareil-sur-Mauldre;1.8715159;48.8936804
0087381590;Mantes-la-Ville;1.71581;48.98366
0087381574;Issou - Porcheville;1.78532;48.97931
0087381566;Gargenville;1.80890;48.98318
0087381475;Chanteloup-les-Vignes;2.02771;48.97095
0087345561;Caudry;3.40983;50.11146
0087345546;Maurois;3.4562554;50.0674506
0087345520;Cambrai;3.24118;50.17662
0087345439;Brunémont;3.1453509;50.2783197
0087345413;Cantin;3.121943;50.3124545
0087345215;Sallaumines;2.8556769;50.4223266
0087345116;Corbehem;3.0405375;50.3428545
0087343319;Raismes;3.4788322;50.3902495
